asset_type,asset_key,target_path,width,height,prompt
food,food-001,foods/food-001.webp,800,600,"Photorealistic Korean delivery-app food photography of 제육볶음. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-002,foods/food-002.webp,800,600,"Photorealistic Korean delivery-app food photography of 김치찌개. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-003,foods/food-003.webp,800,600,"Photorealistic Korean delivery-app food photography of 순두부찌개. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-004,foods/food-004.webp,800,600,"Photorealistic Korean delivery-app food photography of 비빔밥. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-005,foods/food-005.webp,800,600,"Photorealistic Korean delivery-app food photography of 물냉면. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-006,foods/food-006.webp,800,600,"Photorealistic Korean delivery-app food photography of 불고기. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-007,foods/food-007.webp,800,600,"Photorealistic Korean delivery-app food photography of 된장찌개. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-008,foods/food-008.webp,800,600,"Photorealistic Korean delivery-app food photography of 삼겹살. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-009,foods/food-009.webp,800,600,"Photorealistic Korean delivery-app food photography of 육개장. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
food,food-010,foods/food-010.webp,800,600,"Photorealistic Korean delivery-app food photography of 설렁탕. Single finished dish, appetizing realistic plating, 45-degree camera angle, natural restaurant lighting, neutral tabletop, no text, no logos, no watermark, no people, high detail, consistent commercial food photography style."
